accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
"ERR16025272, ERR16025290","ERR16025272, ERR16025290",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025272,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17384343, ERR17384345","ERR17384343, ERR17384345",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384343,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17384348, ERR17384349","ERR17384348, ERR17384349",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384348,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17384350, ERR17384357","ERR17384350, ERR17384357",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384350,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17384351, ERR17384358","ERR17384351, ERR17384358",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384351,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17384353, ERR17384356","ERR17384353, ERR17384356",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384353,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384354,ERR17384354,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384354,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384436,ERR17384436,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384436,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384437,ERR17384437,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384437,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384438,ERR17384438,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384438,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384439,ERR17384439,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384439,auto-collected from public metadata; sample_size from BioSample accessions
